shot_id,clip_id,shot_index,tc_in,tc_out,duration_s,verbatim_text,description,shot_deeplink,subject_role,action,food_item,food_role,setting,camera_framing,camera_angle,camera_movement,motion_speed,lighting,vfx,audio_sfx,dialogue,mood,liftable,shot_risk
APX-S-001-1,APX-C-001,1,0.0,2.5,2.5,"Extreme low-angle tracking shot — a hyper-focused street female food chef sprints at impossible speed through a neon-lit Tokyo alley, clutching a steaming bowl of ramen. Crisp apron flapping, sleeves rolled, sneakers splashing through puddles. Camera shakes aggressively behind them. Steam trails like smoke. Neon signs streak across frame.","A street chef sprints flat-out through a neon alley, holding a steaming bowl of ramen level as she runs. Puddles spray, steam trails behind her.",,chef,sprinting,ramen,hero,neon Tokyo alley,wide,low,tracking,real-time,neon practicals,steam,footfalls; splashing,,intense,yes,
APX-S-001-2,APX-C-001,2,2.6,5.0,2.4,"Whip-pan — they shoulder-check a stack of plastic crates. TIME REMAP: slow-motion chaos — vegetables, bowls, and chopsticks explode into the air. Broth ripples in perfect cinematic detail without spilling. They tilt the bowl mid-run, saving every drop.","She shoulder-charges a stack of crates. Vegetables, bowls and chopsticks burst into the air in slow motion while the broth ripples but never spills.",,chef,sprinting,broth; vegetables,hero,neon Tokyo alley,medium,eye,whip-pan,time-remap,neon practicals,particles,crate clatter,,intense,yes,
APX-S-001-3,APX-C-001,3,5.1,7.5,2.4,Drone shot — they leap across narrow alley gaps between buildings. SLOW MOTION: steam spirals upward into neon light. A cat jumps out of the way. Laundry lines ripple. They casually garnish the ramen mid-air with one hand — flawless precision.,"She leaps between rooftops. Steam spirals into the neon. Mid-air, one hand garnishes the bowl without looking.",,chef,leaping; garnishing,ramen,hero,alley rooftops,wide,high,drone,slow-mo,neon practicals,steam,wind,,intense,yes,
APX-S-001-4,APX-C-001,4,7.6,10.0,2.4,"360° orbital shot — they slide across the hood of a parked car, spin, land clean. One sandal nearly slips off but is caught mid-motion. They adjust grip on the bowl, completely composed.","She slides across the hood of a parked car, spins, lands clean, and re-grips the bowl without breaking composure.",,chef,sliding,ramen,featured,street / parked car,medium,eye,orbit,real-time,neon practicals,none,metal slide,,intense,yes,
APX-S-001-5,APX-C-001,5,10.1,13.0,2.9,"First-person POV — a small ramen shop door rushes forward. SMASH CUT: door slams open. Steam floods the frame. They step in, perfectly calm now. Place the bowl gently on the counter. Slow push-in. Low-angle shot. They look at the customer.","The shop door bursts open and steam floods the room. Calm now, she sets the bowl gently on the counter and looks at the customer. The customer says nothing.",,chef,serving,ramen,hero,ramen shop interior,cu,low,pov; push-in,real-time,warm interior,steam,door slam; ceramic,Still hot.,calm,yes,
APX-S-002-1,APX-C-002,1,0.0,3.0,3.0,"Scene opens on a rustic wooden table bathed in warm sunrise light. A small pile of mixed desi spices (turmeric, chili flakes, cumin, cardamom) sits still in extreme macro close-up. Dust particles gently float in visible light rays.","A small pile of turmeric, chilli, cumin and cardamom rests on a rustic wooden table in the first light of morning. Dust drifts through the beams.",,none,none,spices,hero,rustic table,ecu,eye,static,real-time,warm sunrise; volumetric,particles,room tone,,calm,yes,
APX-S-002-2,APX-C-002,2,3.0,7.0,4.0,"A human finger slowly enters frame and pinches the spice mix. As the spices are lifted, the grains begin to defy gravity and float in slow motion. Each particle subtly starts glowing with warm tones (gold, red, amber).","A fingertip pinches the spice. The grains lift, hang in the air, and begin to glow gold and amber.",,none,pouring,spices,hero,rustic table,ecu,eye,static,slow-mo,warm sunrise,particles,tonal hum,,awe,yes,
APX-S-002-3,APX-C-002,3,7.0,11.0,4.0,"The spices suddenly burst outward in slow motion. Turmeric transforms into glowing golden nebula clouds, chili flakes become fiery red supernova explosions, cumin seeds turn into tiny orbiting planets. The camera begins a slow orbital rotation around the expanding structure.","The spice bursts outward. Turmeric becomes a golden nebula, chilli flakes ignite like supernovae, cumin seeds orbit as tiny planets.",,none,none,spices,hero,cosmos-of-spice,wide,eye,orbit,slow-mo,self-lit,particles; energy,bass whoosh; crackle,,awe,partial,transform render
APX-S-002-4,APX-C-002,4,11.0,14.0,3.0,"The frame fully transforms into a cosmic universe made entirely of spices. Swirling galaxies form from spice textures, stars sparkle like salt crystals, and nebulae flow like colored powder clouds. The camera slowly pulls back to reveal the full universe scale.","The frame becomes a universe made entirely of spice — galaxies of powder, stars like salt crystals — revealed in full as the camera pulls back.",,none,none,spices,hero,cosmos-of-spice,extreme-wide,eye,pull-back,slow-mo,self-lit,particles,deep hum,,awe,partial,transform render
APX-S-002-5,APX-C-002,5,14.0,15.0,1.0,"The entire cosmic structure collapses smoothly back into the original spice pile. The finger re-enters the frame, resetting everything as if nothing happened, creating a seamless loop.",The universe collapses back into the spice pile. The finger returns. Nothing ever happened.,,none,none,spices,hero,rustic table,ecu,eye,static,real-time,warm sunrise,particles,time-reset tick,,calm,yes,
