clip_id,title,generator,runtime_s,aspect_ratio,video_url,thumbnail_url,source_url,asset_status,shot_count,summary,source_prompt_file,verdict,step1_grounded_brand_safe,home_route,cut_reason,occasion_context,distinctiveness,register,product_fit,realism_level,render_stack,grade,motion_feel,prompt_health,risk_flags,ip_flags,fix_note,calibration_note
APX-C-001,Still Hot — Tokyo Ramen Sprint,seedance_2.0,13,2.39:1,,,,missing,5,"A street ramen chef sprints through a neon Tokyo alley at impossible speed, carrying a full bowl of ramen. She vaults crates, leaps rooftops, garnishes the bowl mid-air and slides across a car, then places it gently on the counter in front of a stunned customer: “Still hot.”",prompts/APX-C-001.txt,keep,pass,direct,,none,high,flagship-ad,Studio; Experience; Menu,photoreal,ALEXA 65mm anamorphic; 2.39:1; film grain; Dolby Vision HDR,teal-orange,mixed,clean,none,none,,"ANCHOR. Impossible action is not a cut. Clip B reference. Re-run at #11, verdict held."
APX-C-002,Spice Cosmos,seedance_2.0,15,9:16,,,,missing,5,"A pile of desi spices on a rustic table is lifted by a fingertip. The grains float, ignite and burst outward into a universe made entirely of spice — turmeric nebulae, chilli supernovae, cumin planets — before collapsing back into the pile as if nothing happened.",prompts/APX-C-002.txt,keep,pass,direct,,none,high,craft-piece,Experience; Menu; Studio,macro-stopmotion,100-150mm macro; shallow DOF; volumetric,warm-amber,high-fps-slowmo,clean,transform-render,none,,ANCHOR. Transformation alone is not a cut — the food stays the subject and returns.
APX-C-003,One Bite Fantasy — Dessert World,seedance_2.0,15,9:16,,,,missing,5,"A single bite of a chocolate bar fractures reality. The kitchen dissolves into a dessert universe — caramel rivers, cake mountains, cotton-candy clouds — and the character drifts through it, ending on a candy cliff above a glowing sweet landscape.",prompts/APX-C-003.txt,keep,pass,direct,,none,high,flagship-ad,Studio; Menu; Promotion,stylized-real,8K; soft bloom; volumetric; dreamy DOF,warm-amber,high-fps-slowmo,shaky,transform-render,none,World-dissolve is the make-or-break beat; character consistency inside a full CG world.,"ANCHOR. A fantasy world MADE OF THE FOOD keeps, even with no return to reality. Retired the old 'must return' proxy."
APX-C-004,Neon Dumpling Courier,seedance_2.0,15,9:16,,,,missing,6,"A courier launches off a noodle-shop awning into a rain-slick rooftop night market, dodging a rival drone swarm with a tower of steaming dumpling baskets. One basket bursts mid-air. He lands at a rooftop table above the city and sets the food down perfectly intact.",prompts/APX-C-004.txt,keep,pass,direct,,none,high,flagship-ad,Studio; Experience; Menu,photoreal,ultra-detailed steam/reflections; practical comedy timing,neon-magenta,mixed,clean,none,none,,"Ramen's relative. Sci-fi skin (anti-grav, drones) over a real food-delivery story. Featured food carries it."
APX-C-005,Awaken — Espresso Matador,seedance_2.0,15,16:9,,,,missing,5,"A tired man drinks a canned espresso on an Italian cobblestone street, unaware a huge bull is charging behind him. As he drains the can he becomes a matador, dodges the bull with a red cape, then returns to his suit and walks on. The can turns in the light. “Awaken.”",prompts/APX-C-005.txt,keep,pass,direct,,none,high,flagship-ad,Studio; Promotion; Menu,photoreal,cinematic realism; HDR; real shadows/reflections; 480p specified,warm-amber,mixed,shaky,transform-render; brand-logo-fidelity,real-product-label,"480p contradicts 'movie-level quality' — raise. Two seamless transforms + strict can-label match are the failure points. Watch the oversized bull: comedic-big, not monstrous.",ANCHOR. A person transforming into a HUMAN ROLE (matador) keeps. Becoming a non-human entity cuts.
APX-C-006,Alien Donut Heist,seedance_2.0,15,16:9,,,,missing,5,"A tiny overconfident alien courier steals a giant glowing donut from a spaceship kitchen, escaping a guard drone with a jetpack and a pizza-slice parachute. He crashes into a hatch, sticks the landing, and takes an enormous bite.",prompts/APX-C-006.txt,keep,pass,direct,,none,standard,light-social,Studio; Promotion,3d-animation,hyper-expressive stylised 3D; squash-and-stretch; volumetric fog,neon-magenta,mixed,shaky,none,none,,Featured food EARNS the home. Donut is the chase object and the payoff; pizza is the parachute. Off-world setting alone does not cut.
APX-C-007,Sunset Circuit — Driver's Day,seedance_2.0,45,16:9,,,,missing,15,"A day in the life of a racing driver: waking at seven, breakfast by floor-to-ceiling windows, the drive across the city, the suit zipped, a green GT3 attacking the circuit, the pit-lane walk, a high-five at the garage — and finally, alone at night with a beer, watching it all back.",prompts/APX-C-007.txt,keep,pass,aspirational,,none,high,mood-piece,Studio; Experience,photoreal,storyboard/previs; 8K; soft bloom; film grain,teal-orange,24fps-cinematic,clean,brand-logo-fidelity,real-brand,Porsche / PUMA marks named. Logo fidelity is a known AI failure and a rights question if it ships.,"ANCHOR. Opened the ASPIRATIONAL route. Premium lifestyle earns a home with no featured dish. Food (eggs, beer) is incidental and that is fine."
APX-C-008,Rooftop Extraction,seedance_2.0,15,2.39:1,,,,missing,8,"A woman in a trench coat runs a rain-slicked rooftop forty storeys above a neon city, pursued by armed operatives. She swings off the ledge into freefall between two skyscrapers, crashes through a skylight, rolls, and disappears into a stairwell without breaking stride.",prompts/APX-C-008.txt,keep,pass,aspirational,,none,high,mood-piece,Studio,photoreal,8K; anamorphic 2.39:1; crushed blacks; Dolby Vision HDR,teal-orange,mixed,clean,none,none,,"ANCHOR. Widened the aspirational route — action/thriller intensity qualifies, not just luxury leisure. No food, no venue, still keeps."
APX-C-009,Main Character Energy,seedance_2.0,15,16:9,,,,missing,5,"An ordinary day shot like a film trailer: the alarm, the coffee, the commute, the meeting, the rain on the pavement — every mundane beat given weight and slow motion, ending on a rooftop above the skyline at sunset.",prompts/APX-C-009.txt,keep,pass,aspirational,,none,low,mood-piece,Studio,photoreal,ultra cinematic realism; lens flares; film-grade grade,teal-orange,mixed,shaky,none,none,"Weak, generic prompt. Likely nobody's favourite. Real-world and brand-safe, so it holds a place in the library. Upgrade at intake via the motion/emotion script if a client engages.","Tests the ASPIRATIONAL FLOOR — and there isn't one. Keeps on mood alone. Tagged low-distinctiveness so it never leads a selection. Re-run at #25, verdict held."
APX-C-010,The Storm That Is Approaching,seedance_2.0,55,16:9,,,https://x.com/john87445528/status/2036409868710457682,missing,6,"A bionic warrior escapes a drowned city, strikes a rescue beacon and tears open a portal into blazing noon. She lands in an ancient Eastern food market, sprints between fruit stalls and hanging spice, then turns to face what followed her into the alley.",prompts/APX-C-010.txt,keep,pass,direct,,UNRESOLVED,high,flagship-ad,Studio; Venue; Event,photoreal,4K cinematic realism; handheld throughout; hyperreal water physics,mixed,mixed,clean,character-consistency,none,"Carries genuinely dark content (zombies, blood). Kept because the food market is a real home and the clip is strong — but its status depends on the Halloween/occasion rule, which is NOT SET.",ANCHOR (paired with the volcanic cut). Dark surface + real food home = keep. Dark surface + no home = cut. Darkness was never the trigger; the home is.
